complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
11343977,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,VA,Resurgent Capital Services L.P.,2025-01-01T15:02:58.000Z,,,
7195919,Debt collection,Medical debt,False statements or representation,"Impersonated attorney, law enforcement, or government official",TN,The Law Offices of Mitchell D. Bluhm & Associates,2023-07-03T03:09:48.000Z,On XX/XX/XXXX I looked at my consumer report and I see law offices mba on my consumer report. PER federal law 15 USC 1692 E ( 3 ) States that false representation or implication that any individual is an attorney or that any communication is from an attorney. The first communication I have is noticing this law firm on my consumer report with the name of law offices mba. I never had any written communication stating anything of this item that is on my consumer report per 15 usc 1692 c. I have never given this company permission to falsely place this item on my consumer report and by looking at this alleged debt this is a hippa violation due to the fact I do not know who this debt belong to because it does not belong to me. This is why you are to communicate the alleged debt to me by written notfication because this is clearly identity theft and a hippa violation. This company is false and misleading I have never went into any contracts with this company. per the privacy act of 1974 I never gave this company permission to purchase this debt and I opt out of this company reporting to my consumer report per 17 cfr 248.125.,,
11342671,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,TX,ENCORE CAPITAL GROUP INC.,2025-01-01T22:14:52.000Z,,,
6787692,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NC,"RentDebt Automated Collections, LLC",2023-04-03T19:31:12.000Z,This is not mines,,
7202622,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,IN,"W&A Intermediate Co., LLC",2023-07-04T10:45:24.000Z,"XXXX verified a medical debt that is open but that is also a collection account. 
With a balance that is increasing daily. This is not my debt. I want it validated. Where is my signature. It's wrong to come after me with fraudulent debt/information..My credit score is hurting from the Lies of Wakefield & Association . I didn't open any debt in XXXX of any year. Balance on this collection is going up and my credit score is hurting. Please help!",,
20834384,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,UT,"January Technologies, Inc",2026-04-01T03:35:09.000Z,"A company ( XXXX ) used false promises of making money, using misleading advertising through XXXX post, got me to sign a contract to repay a loan in exchange for access to an educational course that would teach me to make money. The was no plan of repayment or expectation how much I owe monthly. I signed, received access but the course was very poorly built. After reaching out to them to cancel, they were unwilling to provide a recording of our phone call in which I was pressured to "" loan '' {$8200.00} by entering false information ( such as making XXXX $ in income ) and initialing a line on the paper electronically. I was forced to pay {$1000.00} towards it before it was sent for collections. This education course is not worth XXXX XXXX My account has now been sent to collections agency which I am also disputing. I have already filed a fraud report with FTC, disputed charges with my bank, credit agencies, collections agency as of XX/XX/year>. 

Issues include : Refusal to provide a recording of the sales call upon request XXXX ( company rep ) said "" Just put XXXX income '' which isn't true Pressure to sign electronically during a call Misrepresentation of expected outcomes Lack of clear repayment terms or schedule Delivery of a course that does not match what was advertised",,
10309927,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,MO,AMERICAN EXPRESS COMPANY,2024-10-01T14:38:47.000Z,"This debt collector has engaged in practices that violate the Fair Debt Collection Practices Act ( FDCPA ). They have reported an account that I did not consent to, and there is no signed agreement from me authorizing it. A valid legal contract requires the signatures of both parties, and I was not involved in such an agreement. Furthermore, they failed to adhere to the proper 5-step validation process as mandated by the FDCPA. These actions clearly infringe upon my rights under the law, and I am entitled to compensation for these violations. I demand the immediate removal of this accountfrommyrecord.",,
18406346,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,IL,"SUNRISE CREDIT SERVICES, INC",2026-01-01T18:47:54.000Z,,,
20837711,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,"CAINE & WEINER COMPANY, INC.",2026-04-01T07:28:01.000Z,,,
7183699,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,VA,Resurgent Capital Services L.P.,2023-07-02T16:25:45.000Z,,,
